Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
World,WLD,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,3037.4407798141,3073.5940347999,3074.2101182202,3176.9887999171,3252.7490019802,3273.2207910939,3251.9994830675,3252.4880482505,3324.8085756845,3263.235806618,3333.7344987404,3265.9646145715,3231.3640264447,3349.8733146183,3292.2418000529,3317.8200364383,3350.0714299494,3421.0282003883,3434.2087604974,3379.6728842554,3322.8457164699,3375.4725666543,3385.6334190255,3413.5327302891,..
World,WLD,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,3874.763625685,3897.5487127821,3891.5410940084,4077.0960090739,4508.7586996639,4925.6269899471,5167.7194816113,5440.9763392753,5556.5298542611,5545.0791838539,6089.3361913419,6316.5258413155,6335.9869310703,6363.8030703395,6427.7681936152,6291.9303663681,6149.8989023546,6078.265669529,6213.4404598561,6249.9279989371,6194.0104671055,6341.3557338322,6223.6064675772,6406.8213864568,..
World,WLD,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,9375.5682339982,9580.1683559869,9718.8582112918,10275.47997721,10651.624403908,10999.048908694,11429.008274522,11922.191621651,11922.311170303,11736.104198165,12522.037998686,13125.537411798,13403.9608384,13643.025526534,13701.006520729,13402.260198592,13456.932307012,13770.780133527,14217.022443243,14088.010102935,13593.464512181,14655.450458618,14693.366675886,14923.933096966,..
World,WLD,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,14.6191347706,15.37028720761,14.392234897967,15.679906430787,14.814823895675,14.080314531016,14.985164374039,15.1597392676,15.890915325162,15.374297716095,15.701365614347,16.456243691079,15.722919551811,18.133249960897,16.205214125057,17.450160538077,17.161561912435,17.235336853469,17.572511585041,17.696023208768,17.712269990473,17.739419220751,17.859999240217,17.997355624099,..
World,WLD,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,105.17549323877,106.63005964831,111.6924684978,113.05987306372,117.3733390504,106.67652133829,110.52961111054,113.64512523407,111.19621098944,121.92765310392,122.22554365007,130.65426660736,133.73971403003,137.27967050997,134.22649009448,137.43084225837,136.8817328558,134.63019043044,135.0334713975,140.31844698486,146.29699882745,143.24964284068,143.0920588532,143.61829668843,..
World,WLD,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,1941.6133018483,1928.0719442462,1961.5363401757,2121.7639022207,2133.3012971895,2200.2619580506,2256.7852621429,2295.6611437282,2293.4450496328,2277.3187664176,2397.1956618649,2413.0092254248,2463.4890742203,2504.3439997407,2467.0433370101,2538.3156696475,2453.051282191,2513.8814408078,2577.4326605267,2710.3191605016,2550.7334735652,2620.8725047,2619.237843634,2666.4156604569,..
World,WLD,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,1595.1901757739,1619.6838320914,1699.3051403233,1789.8533836423,1900.8733609775,2015.1640349542,2171.9560442092,2322.3981399002,2332.8636721076,2327.1375360755,2503.6160289575,2655.1715505953,2741.0926815476,2823.5336121715,2885.7363588855,2857.5097712102,2972.8518647119,3032.3112800219,3105.9104092664,3198.0107791904,3236.3421331981,3332.1697036905,3220.3261935562,3212.5735525868,..
World,WLD,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,5781.0696545011,5810.0994401418,5961.7541913597,6086.8987680804,6369.2515297208,6510.4636985932,6662.1115593399,6869.9945696558,6874.2039007591,6734.5004504186,7019.7947623498,7136.2550238182,7196.357493429,7381.1458380671,7503.5417984359,7737.7494059046,7886.8116179103,8079.3397797349,8273.9331699722,8282.4787503174,7092.9024723669,7634.7049510285,7943.5014030552,8239.0449596699,..
World,WLD,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,-1763.77667821203,-2510.81368902317,-1984.07162845611,-1153.09417566917,-484.860061860313,-1395.09650191184,-1076.98303506716,-2152.87522028554,-2272.40120964514,-2647.99354823038,-3289.76829629917,-2891.34474484986,-2775.00657148291,-2697.60271074596,-2420.095895513,-2090.20566879639,-3339.52506730451,-3273.99455325904,-3146.44286452184,-2869.92880000564,-2917.98808153518,-2831.19481606393,-2831.19481606393,..,..
World,WLD,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,615.31289259483,685.66529696331,872.65419377546,688.15125791922,913.56010204528,958.72677526893,1657.6236940717,741.06123873908,678.49967708792,953.15097700049,709.6696678211,764.65067508403,1032.9903854714,776.7098327645,1266.5065954737,1496.2716978434,769.73073644119,693.88969718037,806.46824363535,1152.4818017585,1154.0908839376,1154.0908839376,1154.0908839376,1154.0908839376,..
World,WLD,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,4512.8765891852,3846.6071884632,4075.6243087004,5077.7906744243,5407.9505173701,4518.3489430471,4175.6394011803,4037.1914433478,4068.9766409258,3585.7937354939,3358.0473932484,3878.7413501032,3867.8965642204,4190.01121742,3880.0689326554,4050.7356364886,3850.7966901629,3816.5261601504,3938.5184288774,3811.667203227,3862.060945386,3877.8183406811,3877.8183406811,3877.8183406811,..
World,WLD,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,-906.2341393441,-943.81077957533,-933.49996834258,-940.07705908686,-869.58103303591,-942.71536966637,-950.97655892722,-905.39533936337,-839.23609543498,-806.69467373939,-916.71174298775,-922.59836420877,-964.13002647811,-914.7932502328,-1030.1635450219,-949.47149282191,-1159.9927719383,-1209.3631729422,-1142.7348568105,-1096.0966348188,-1186.9820690429,-1152.5059777214,-1152.5059777214,-1152.5059777214,..
World,WLD,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,-6685.7557169462,-6824.3325869404,-6584.1107873143,-6366.9062827986,-6174.8697657752,-6071.1699416996,-6134.2990583463,-5987.0489587029,-6654.2222366671,-6890.5166408893,-6382.7518122327,-6013.0930952398,-5912.4025718709,-5762.5015380906,-5727.999306087,-5815.3609449751,-5871.9625419512,-5781.9173617809,-5418.4444397183,-5594.3153756929,-5556.0703105119,-5132.0222011908,-5183.880300944,-5129.5774785652,..
World,WLD,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,36704.4150987215,35413.7456647747,36771.0708789032,38590.5398148981,41125.8481929672,41077.2550964448,43139.2405328811,43331.6649189912,42831.4437967706,41836.7167702716,43924.1289125116,47535.570258557,48432.3091467661,48204.6633642254,48999.1286964165,49218.827508222,47875.5013412219,49119.0484447783,50984.951003622,51278.3473950544,48871.4223102366,51737.7229306747,51838.0647262664,54500.7066852349,..
World,WLD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,79.7838486825398,80.0383070113917,80.0570411983365,80.5535227050781,80.6515386894538,80.724477315973,80.8357144829528,81.1941616610071,81.0548554558265,80.6134685822693,80.7781258315195,81.2305622950874,81.1653501506259,80.9427289687651,80.9114077192803,79.6762980161753,..,..,..,..,..,..,..,..,..
World,WLD,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1609822.02240453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1907334.0257958,..,..,..,..,..,..,..,..,..
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.594728013432,47.0391325896725,47.5300783483742,48.0240437920389,48.5242491111519,49.0283291924119,49.5236210114874,50.0087021692193,50.5069539994313,50.9971116003884,51.4765741694945,51.9213439890941,52.3618009169573,52.8149548907047,53.2699321112133,53.7347523090182,54.1955308962525,54.6466891474647,55.0885486295672,55.5262096579263,55.9646587391325,56.3761507680012,56.8142984366277,57.2502784347054,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
